account,name,tax_id
600000100,Food purchases,
600000200,Drinks purchases,
600000300,Packaging purchases,
600000400,Cleaning supplies,
621000000,Rent,
622000000,Repairs and maintenance,
623000000,Professional services,
625000000,Insurance,
627000000,Advertising,
628000000,Utilities,
629000000,Other services,
216000000,Furniture,
217000000,Computer equipment,
472000004,Input VAT 4%,
472000010,Input VAT 10%,
472000021,Input VAT 21%,
475100000,Withholding tax payable,
400000001,"MEDITERRANEAN FOODS DEMO, S.L.",B46182739
400000002,"LEVANTE DRINKS DEMO, S.A.",A39201561
400000003,"SPARKLE CLEANING DEMO, S.L.",B55073811
400000004,"BROTHERS BUTCHERY DEMO, S.L.",B62834197
400000005,"ORCHARD FRUIT DEMO, S.L.",B77140259
410000007,"CAFÉ RESTAURANTE NORTE, S.L.",B87654323
410000001,"HARBOUR ACCOUNTANTS DEMO, S.L.P.",B88402177
410000002,"TERRACE FURNITURE DEMO, S.L.",B23958648
400000007,"FISH MARKET DEMO, S.L.",B10473825
400000008,"COFFEE ROASTERS DEMO, S.L.",B22691042
400000009,"NORTH FROZEN FOODS DEMO, S.A.",A55903165
400000010,"WINE & CAVA DEMO, S.L.",B66135708
400000011,"CATERING SUPPLIES DEMO, S.L.",B77088250
400000012,"VALLEY DAIRY DEMO, S.A.",A81240939
410000003,"QUICK REPAIRS DEMO, S.L.",B90316589
410000004,"GREEN ENERGY DEMO, S.A.",A41762097
410000005,"TELECOM DEMO, S.A.",A33584715
410000006,"PAYROLL SERVICES DEMO, S.L.",B27109461
